sample_type,province,location,season,lon,lat,antibiotic,median_concentration,concentration_unit,sample_year,reference_number
soil,Jiangsu,Jiangsu Nanjing Jiangning district Suoshi,NA,118.974593,32.067566,Sulfachloropyridazine,3.9,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Jiangning district Suoshi,NA,118.974593,32.067566,Sulfadiazine,0.6,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Jiangning district Suoshi,NA,118.974593,32.067566,Sulfadimethoxine,1,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Jiangning district Suoshi,NA,118.974593,32.067566,Sulfadimidine,0.9,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Jiangning district Suoshi,NA,118.974593,32.067566,Sulfamethoxazole,0.5,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Jiangning district Suoshi,NA,118.974593,32.067566,Sulfamonomethoxine,14.25,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Jiangning district Suoshi,NA,118.974593,32.067566,Tetracycline,2.6,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Jiangning district Tangshan,10,119.058863,32.057452,Oxytetracycline,34.87,ng/g,2012,202
soil,Jiangsu,Jiangsu Nanjing Lishui district Pulangke,NA,119.100781,31.577944,Chlortetracycline,2.4,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Lishui district Pulangke,NA,119.100781,31.577944,Ciprofloxacin,3.2,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Lishui district Pulangke,NA,119.100781,31.577944,Doxycycline,1,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Lishui district Pulangke,NA,119.100781,31.577944,Enrofloxacin,11.7,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Lishui district Pulangke,NA,119.100781,31.577944,Norfloxacin,3.8,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Lishui district Pulangke,NA,119.100781,31.577944,Ofloxacin,6.5,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Lishui district Pulangke,NA,119.100781,31.577944,Oxytetracycline,10.7,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Lishui district Pulangke,NA,119.100781,31.577944,Roxithromycin,0.4,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Lishui district Pulangke,NA,119.100781,31.577944,Sulfachloropyridazine,1.6,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Lishui district Pulangke,NA,119.100781,31.577944,Sulfadiazine,0.6,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Lishui district Pulangke,NA,119.100781,31.577944,Sulfadimethoxine,0.9,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Lishui district Pulangke,NA,119.100781,31.577944,Sulfadimidine,0.9,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Lishui district Pulangke,NA,119.100781,31.577944,Sulfamethoxazole,0.6,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Lishui district Pulangke,NA,119.100781,31.577944,Sulfamonomethoxine,9.9,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Lishui district Pulangke,NA,119.100781,31.577944,Tetracycline,1.3,ng/g,2012,86
soil,Jiangsu,Jiangsu Nanjing Yuhuatai district,NA,118.73,31.95,Chlortetracycline,486,ng/g,NA,83
soil,Jiangsu,Jiangsu Nanjing Yuhuatai district,NA,118.73,31.95,Tetracycline,39.4,ng/g,NA,83
soil,Jiangsu,Jiangsu Suqian Sihong county,11,118.223591,33.476051,Chlortetracycline,21.6,ng/g,2011,202
soil,Jiangsu,Jiangsu Suqian Sihong county,11,118.223591,33.476051,Oxytetracycline,36.83,ng/g,2011,202
soil,Jiangsu,Jiangsu Suqian Sihong county,11,118.223591,33.476051,Sulfadimidine,0.3,ng/g,2011,202
soil,Jiangsu,Jiangsu Suqian Sihong county,11,118.223591,33.476051,Sulfamethoxazole,0.33,ng/g,2011,202
soil,Jiangsu,Jiangsu Suqian Sihong county,6,118.223591,33.476051,Chlortetracycline,12.88,ng/g,2012,202
soil,Jiangsu,Jiangsu Suqian Sihong county,6,118.223591,33.476051,Oxytetracycline,28.9,ng/g,2012,202
soil,Jiangsu,Jiangsu Suqian Sihong county,6,118.223591,33.476051,Sulfadimidine,14.5,ng/g,2012,202
soil,Jiangsu,Jiangsu Xuzhou,8,117.284124,34.205768,Chlortetracycline,4331,ng/g,2011,202
soil,Jiangsu,Jiangsu Xuzhou,8,117.284124,34.205768,Ciprofloxacin,505,ng/g,2011,202
soil,Jiangsu,Jiangsu Xuzhou,8,117.284124,34.205768,Enrofloxacin,197,ng/g,2011,202
soil,Jiangsu,Jiangsu Xuzhou,8,117.284124,34.205768,Oxytetracycline,3212,ng/g,2011,202
soil,Jiangsu,Jiangsu Xuzhou,8,117.284124,34.205768,Sulfadiazine,21.86,ng/g,2011,202
soil,Jiangsu,Jiangsu Xuzhou,8,117.284124,34.205768,Sulfadimidine,105.94,ng/g,2011,202
soil,Jiangsu,Jiangsu Xuzhou,8,117.284124,34.205768,Sulfamethoxazole,20.92,ng/g,2011,202
soil,Jiangsu,Jiangsu Xuzhou,8,117.284124,34.205768,Tetracycline,753,ng/g,2011,202
soil,Jiangsu,Jiangsu Xuzhou Tongshan district,NA,117.169421,34.1807,Chlortetracycline,8.3,ng/g,2012,86
soil,Jiangsu,Jiangsu Xuzhou Tongshan district,NA,117.169421,34.1807,Ciprofloxacin,7.8500000000000005,ng/g,2012,86
soil,Jiangsu,Jiangsu Xuzhou Tongshan district,NA,117.169421,34.1807,Doxycycline,27.5,ng/g,2012,86
soil,Jiangsu,Jiangsu Xuzhou Tongshan district,NA,117.169421,34.1807,Enrofloxacin,13.9,ng/g,2012,86
soil,Jiangsu,Jiangsu Xuzhou Tongshan district,NA,117.169421,34.1807,Norfloxacin,15.4,ng/g,2012,86
soil,Jiangsu,Jiangsu Xuzhou Tongshan district,NA,117.169421,34.1807,Ofloxacin,9.5,ng/g,2012,86
soil,Jiangsu,Jiangsu Xuzhou Tongshan district,NA,117.169421,34.1807,Oxytetracycline,397.6,ng/g,2012,86
soil,Jiangsu,Jiangsu Xuzhou Tongshan district,NA,117.169421,34.1807,Roxithromycin,1.3,ng/g,2012,86
soil,Jiangsu,Jiangsu Xuzhou Tongshan district,NA,117.169421,34.1807,Sulfachloropyridazine,1.2,ng/g,2012,86
soil,Jiangsu,Jiangsu Xuzhou Tongshan district,NA,117.169421,34.1807,Sulfadiazine,0.6,ng/g,2012,86
soil,Jiangsu,Jiangsu Xuzhou Tongshan district,NA,117.169421,34.1807,Sulfadimethoxine,0.8,ng/g,2012,86
soil,Jiangsu,Jiangsu Xuzhou Tongshan district,NA,117.169421,34.1807,Sulfadimidine,1,ng/g,2012,86
soil,Jiangsu,Jiangsu Xuzhou Tongshan district,NA,117.169421,34.1807,Sulfamethoxazole,0.6,ng/g,2012,86
soil,Jiangsu,Jiangsu Xuzhou Tongshan district,NA,117.169421,34.1807,Sulfamonomethoxine,1,ng/g,2012,86
soil,Jiangsu,Jiangsu Xuzhou Tongshan district,NA,117.169421,34.1807,Tetracycline,27.4,ng/g,2012,86
soil,Jiangsu,Jiangsu Yangtze river Delta,6,120.445064,31.099971,Ciprofloxacin,27.7,ng/g,2014,108
soil,Jiangsu,Jiangsu Yangtze river Delta,6,120.445064,31.099971,Doxycycline,13.9,ng/g,2014,108
soil,Jiangsu,Jiangsu Yangtze river Delta,6,120.445064,31.099971,Enrofloxacin,3.98,ng/g,2014,108
soil,Jiangsu,Jiangsu Yangtze river Delta,6,120.445064,31.099971,Norfloxacin,11.2,ng/g,2014,108
soil,Jiangsu,Jiangsu Yangtze river Delta,6,120.445064,31.099971,Ofloxacin,5.86,ng/g,2014,108
soil,Jiangsu,Jiangsu Yangtze river Delta,6,120.445064,31.099971,Oxytetracycline,18.9,ng/g,2014,108
soil,Jiangsu,Jiangsu Yangtze river Delta,6,120.445064,31.099971,Sulfadiazine,0.03,ng/g,2014,108
soil,Jiangsu,Jiangsu Yangtze river Delta,6,120.445064,31.099971,Sulfadimethoxine,0.875,ng/g,2014,108
soil,Jiangsu,Jiangsu Yangtze river Delta,6,120.445064,31.099971,Sulfadimidine,0.01,ng/g,2014,108
soil,Jiangsu,Jiangsu Yangtze river Delta,6,120.445064,31.099971,Sulfamerazine,0.01,ng/g,2014,108
soil,Jiangsu,Jiangsu Yangtze river Delta,6,120.445064,31.099971,Sulfamethizole,0.55,ng/g,2014,108
soil,Jiangsu,Jiangsu Yangtze river Delta,6,120.445064,31.099971,Tetracycline,2.07,ng/g,2014,108
soil,Jiangxi,Jiangxi Ganzhou Meijiang river,4,116.033713,26.494048,Apo-Oxytetracycline,5.28,ng/g,2014,112
soil,Jiangxi,Jiangxi Ganzhou Meijiang river,4,116.033713,26.494048,Chlortetracycline,2.83,ng/g,2014,112
soil,Jiangxi,Jiangxi Ganzhou Meijiang river,4,116.033713,26.494048,Doxycycline,1.86,ng/g,2014,112
soil,Jiangxi,Jiangxi Ganzhou Meijiang river,4,116.033713,26.494048,Epianhydrotetracycline,3.45,ng/g,2014,112
soil,Jiangxi,Jiangxi Ganzhou Meijiang river,4,116.033713,26.494048,Epitetracycline,0.21,ng/g,2014,112
soil,Jiangxi,Jiangxi Ganzhou Meijiang river,4,116.033713,26.494048,Isochlortetracycline,0.84,ng/g,2014,112
soil,Jiangxi,Jiangxi Ganzhou Meijiang river,4,116.033713,26.494048,Oxytetracycline,21.59,ng/g,2014,112
soil,Jiangxi,Jiangxi Ganzhou Meijiang river,4,116.033713,26.494048,Tetracycline,0.69,ng/g,2014,112
soil,Jiangxi,Jiangxi Ganzhou Meijiang river,NA,116,26.558333,Apo-Oxytetracycline,5.28,ng/g,NA,104
soil,Jiangxi,Jiangxi Ganzhou Meijiang river,NA,116,26.558333,Chlortetracycline,2.83,ng/g,NA,104
soil,Jiangxi,Jiangxi Ganzhou Meijiang river,NA,116,26.558333,Doxycycline,1.86,ng/g,NA,104
soil,Jiangxi,Jiangxi Ganzhou Meijiang river,NA,116,26.558333,Epianhydrotetracycline,3.45,ng/g,NA,104
soil,Jiangxi,Jiangxi Ganzhou Meijiang river,NA,116,26.558333,Epitetracycline,0.21,ng/g,NA,104
soil,Jiangxi,Jiangxi Ganzhou Meijiang river,NA,116,26.558333,Isochlortetracycline,0.84,ng/g,NA,104
soil,Jiangxi,Jiangxi Ganzhou Meijiang river,NA,116,26.558333,Oxytetracycline,21.59,ng/g,NA,104
soil,Jiangxi,Jiangxi Ganzhou Meijiang river,NA,116,26.558333,Tetracycline,0.69,ng/g,NA,104
soil,Jiangxi,Jiangxi Nanchang Donghu district,NA,115.89,28.68,Enrofloxacin,5.866666666666667,ng/g,NA,83
soil,Jiangxi,Jiangxi Nanchang Donghu district,NA,115.89,28.68,Norfloxacin,6.966666666666666,ng/g,NA,83
soil,Jiangxi,Jiangxi Nanchang Donghu district,NA,115.89,28.68,Ofloxacin,28.600000000000005,ng/g,NA,83
soil,Jiangxi,Jiangxi Nanchang Donghu district,NA,115.89,28.68,Oxytetracycline,62.633333333333326,ng/g,NA,83
soil,Jiangxi,Jiangxi Nanchang Donghu district,NA,115.89,28.68,Sulfamethoxazole,39.96666666666667,ng/g,NA,83
soil,Jiangxi,Jiangxi Nanchang Donghu district,NA,115.89,28.68,Sulfamethoxydiazine,2.873333333333333,ng/g,NA,83
soil,Jiangxi,Jiangxi Nanchang Donghu district,NA,115.89,28.68,Sulfamonomethoxine,6.166666666666667,ng/g,NA,83
soil,Jiangxi,Jiangxi Nanchang Donghu district,NA,115.89,28.68,Sulfathiazole,4.8,ng/g,NA,83
soil,Jiangxi,Jiangxi Nanchang Donghu district,NA,115.89,28.68,Tetracycline,32.833333333333336,ng/g,NA,83
soil,Jilin,Jilin Changchun Gongzhuling,NA,124.82,43.5,Doxycycline,16.75,ng/g,NA,83
soil,Jilin,Jilin Changchun Gongzhuling,NA,124.82,43.5,Ofloxacin,298.3,ng/g,NA,83
soil,Jilin,Jilin Changchun Gongzhuling,NA,124.82,43.5,Oxytetracycline,9.2,ng/g,NA,83
soil,Jilin,Jilin Changchun Gongzhuling,NA,124.82,43.5,Sulfamonomethoxine,2.435,ng/g,NA,83
soil,Liaoning,Liaoning,6,123.42944,41.835441,Chlortetracycline,1520.6,ng/g,2013,178
soil,Liaoning,Liaoning,6,123.42944,41.835441,Ciprofloxacin,32.87647058823529,ng/g,2013,178
soil,Liaoning,Liaoning,6,123.42944,41.835441,Doxycycline,159.07647058823528,ng/g,2013,178
soil,Liaoning,Liaoning,6,123.42944,41.835441,Enrofloxacin,32.352941176470594,ng/g,2013,178
soil,Liaoning,Liaoning,6,123.42944,41.835441,Erythromycin,1.023529411764706,ng/g,2013,178
soil,Liaoning,Liaoning,6,123.42944,41.835441,Furazolidone,5.270588235294118,ng/g,2013,178
soil,Liaoning,Liaoning,6,123.42944,41.835441,Ofloxacin,15.964705882352945,ng/g,2013,178
soil,Liaoning,Liaoning,6,123.42944,41.835441,Oxytetracycline,124.80000000000004,ng/g,2013,178
soil,Liaoning,Liaoning,6,123.42944,41.835441,Roxithromycin,14.32941176470588,ng/g,2013,178
soil,Liaoning,Liaoning,6,123.42944,41.835441,Sulfachloropyridazine,20.91764705882353,ng/g,2013,178
soil,Liaoning,Liaoning,6,123.42944,41.835441,Sulfadiazine,0.18823529411764703,ng/g,2013,178
soil,Liaoning,Liaoning,6,123.42944,41.835441,Sulfadimidine,42.97058823529412,ng/g,2013,178
soil,Liaoning,Liaoning,6,123.42944,41.835441,Sulfamethoxazole,12.323529411764705,ng/g,2013,178
soil,Liaoning,Liaoning,6,123.42944,41.835441,Sulfamonomethoxine,1.7058823529411762,ng/g,2013,178
soil,Liaoning,Liaoning,6,123.42944,41.835441,Tetracycline,23.22941176470588,ng/g,2013,178
soil,Liaoning,Liaoning,6,123.42944,41.835441,Trimethoprim,15.241176470588233,ng/g,2013,178
soil,Liaoning,Liaoning,6,123.42944,41.835441,Tylosin,8.147058823529413,ng/g,2013,178
soil,Liaoning,Liaoning Shenyang Wensheng district,10,123.23,41.32,Ciprofloxacin,10.525,ng/g,2013,171
soil,Liaoning,Liaoning Shenyang Wensheng district,10,123.23,41.32,Enrofloxacin,5.775,ng/g,2013,171
soil,Liaoning,Liaoning Shenyang Wensheng district,10,123.23,41.32,Lomefloxacin,0.475,ng/g,2013,171
soil,Liaoning,Liaoning Shenyang Wensheng district,10,123.23,41.32,Norfloxacin,3.575,ng/g,2013,171
soil,Liaoning,Liaoning Shenyang Wensheng district,10,123.23,41.32,Ofloxacin,3.425,ng/g,2013,171
soil,Liaoning,Liaoning Shenyang Wensheng district,10,123.23,41.32,Pipemidic Acid,0.35,ng/g,2013,171
soil,Ningxia,"Poultry farm surrounding soil, 20 m from farm (D1)",NA,NA,NA,Neomycin,17.6,ng/g,NA,NEW_NINGXIA_SHEN_2022
soil,Ningxia,"Poultry farm surrounding soil, 20 m from farm (D1)",NA,NA,NA,Pefloxacin,6.5,ng/g,NA,NEW_NINGXIA_SHEN_2022
soil,Ningxia,Soil with poultry manure application (AP),NA,NA,NA,Ciprofloxacin,33.2,ng/g,NA,NEW_NINGXIA_SHEN_2022
soil,Ningxia,Soil with poultry manure application (AP),NA,NA,NA,Enrofloxacin,172.2,ng/g,NA,NEW_NINGXIA_SHEN_2022
soil,Ningxia,Soil with poultry manure application (AP),NA,NA,NA,Ofloxacin,83.5,ng/g,NA,NEW_NINGXIA_SHEN_2022
soil,Ningxia,Soil with poultry manure application (AP),NA,NA,NA,Oxytetracycline,57.2,ng/g,NA,NEW_NINGXIA_SHEN_2022
soil,Ningxia,Soil with poultry manure application (AP),NA,NA,NA,Pefloxacin,26.6,ng/g,NA,NEW_NINGXIA_SHEN_2022
soil,Shandong,Shandong,11,117.020359,36.66853,Ciprofloxacin,105.8,ng/g,2010,188
soil,Shandong,Shandong,11,117.020359,36.66853,Enrofloxacin,18.6,ng/g,2010,188
soil,Shandong,Shandong,11,117.020359,36.66853,Norfloxacin,172,ng/g,2010,207
soil,Shandong,Shandong,6,117.020359,36.66853,Chlortetracycline,71.24,ng/g,2010,189
soil,Shandong,Shandong,6,117.020359,36.66853,Doxycycline,66.31,ng/g,2010,189
soil,Shandong,Shandong,6,117.020359,36.66853,Erythromycin-H2O,0.003,ng/g,2010,189
soil,Shandong,Shandong,6,117.020359,36.66853,Norfloxacin,27.97,ng/g,2010,189
soil,Shandong,Shandong,6,117.020359,36.66853,Ofloxacin,45.08,ng/g,2010,189
soil,Shandong,Shandong,6,117.020359,36.66853,Oxytetracycline,107.15,ng/g,2010,189
soil,Shandong,Shandong,6,117.020359,36.66853,Roxithromycin,0.29,ng/g,2010,189
soil,Shandong,Shandong,6,117.020359,36.66853,Sulfadiazine,0.75,ng/g,2010,189
soil,Shandong,Shandong,6,117.020359,36.66853,Sulfadimidine,2.79,ng/g,2010,189
soil,Shandong,Shandong,6,117.020359,36.66853,Sulfamethoxazole,0.17,ng/g,2010,189
soil,Shandong,Shandong,6,117.020359,36.66853,Tetracycline,29.3,ng/g,2010,189
soil,Shandong,Shandong,7,117.020359,36.66853,Chloramphenicol,2.6,ng/g,2015,125
soil,Shandong,Shandong,7,117.020359,36.66853,Ciprofloxacin,2.805,ng/g,2015,125
soil,Shandong,Shandong,7,117.020359,36.66853,Doxycycline,0.503,ng/g,2015,125
soil,Shandong,Shandong,7,117.020359,36.66853,Enrofloxacin,1.467,ng/g,2015,125
soil,Shandong,Shandong,7,117.020359,36.66853,Florfenicol,0.302,ng/g,2015,125
soil,Shandong,Shandong,7,117.020359,36.66853,Levofloxacin,1.057,ng/g,2015,125
soil,Shandong,Shandong,7,117.020359,36.66853,Norfloxacin,1.02,ng/g,2015,125
soil,Shandong,Shandong Jinan Jiyang district,NA,117.015278,36.857778,Azithromycin,4.6,ng/g,2019,71
soil,Shandong,Shandong Jinan Jiyang district,NA,117.015278,36.857778,Ciprofloxacin,6.8,ng/g,2019,71
soil,Shandong,Shandong Jinan Jiyang district,NA,117.015278,36.857778,Ofloxacin,3.3,ng/g,2019,71
soil,Shandong,Shandong Jinan Jiyang district,NA,117.015278,36.857778,Sulfadiazine,0.6,ng/g,2019,71
soil,Shandong,Shandong Jinan Jiyang district,NA,117.015278,36.857778,Sulfadimidine,1.65,ng/g,2019,71
soil,Shanghai,Shanghai,12,121.473701,31.230416,Ciprofloxacin,9.44,ng/g,2006,179
soil,Shanghai,Shanghai,12,121.473701,31.230416,Difloxacin,0.37,ng/g,2006,179
soil,Shanghai,Shanghai,12,121.473701,31.230416,Enrofloxacin,2.35,ng/g,2006,179
soil,Shanghai,Shanghai,12,121.473701,31.230416,Erythromycin-H2O,0.05,ng/g,2006,179
soil,Shanghai,Shanghai,12,121.473701,31.230416,Fleroxacin,6.02,ng/g,2006,179
soil,Shanghai,Shanghai,12,121.473701,31.230416,Lomefloxacin,2.32,ng/g,2006,179
soil,Shanghai,Shanghai,12,121.473701,31.230416,Norfloxacin,94.6,ng/g,2006,179
soil,Shanghai,Shanghai,12,121.473701,31.230416,Ofloxacin,36.6,ng/g,2006,179
soil,Shanghai,Shanghai,12,121.473701,31.230416,Roxithromycin,0.06,ng/g,2006,179
soil,Shanghai,Shanghai,12,116.407526,39.90403,Sarafloxacin,0.22,ng/g,2006,179
soil,Shanghai,Shanghai,12,116.407526,39.90403,Spiramycin,0.02,ng/g,2006,179
soil,Shanghai,Shanghai,12,121.473701,31.230416,Sulfadiazine,0.28,ng/g,2006,179
soil,Shanghai,Shanghai,12,121.473701,31.230416,Sulfadimidine,0.05,ng/g,2006,179
soil,Shanghai,Shanghai,12,121.473701,31.230416,Sulfamethoxazole,0.57,ng/g,2006,179
soil,Shanghai,Shanghai,12,121.473701,31.230416,Sulfamonomethoxine,0.01,ng/g,2006,179
soil,Shanghai,Shanghai,12,116.407526,39.90403,Sulfapyridine,0.01,ng/g,2006,179
soil,Shanghai,Shanghai,12,121.473701,31.230416,Tylosin,0.003,ng/g,2006,179
soil,Shanghai,Shanghai,NA,121.473701,31.230416,Chloramphenicol,4600,ng/g,NA,166
soil,Shanghai,Shanghai,NA,121.473701,31.230416,Oxytetracycline,3890,ng/g,NA,166
soil,Shanghai,Shanghai,NA,121.473701,31.230416,Sulfadiazine,2230,ng/g,NA,166
soil,Shanghai,Shanghai,NA,121.473701,31.230416,Sulfadimidine,1470,ng/g,NA,166
soil,Shanghai,Shanghai,NA,121.473701,31.230416,Sulfamethoxazole,1713.3333333333333,ng/g,NA,166
soil,Shanghai,Shanghai,NA,121.473701,31.230416,Tetracycline,2233.3333333333335,ng/g,NA,166
soil,Shanghai,Shanghai Chongming district Chongming island,NA,121.347811,31.842421,Ciprofloxacin,37.15,ng/g,NA,114
soil,Shanghai,Shanghai Chongming district Chongming island,NA,121.347811,31.842421,Enrofloxacin,101.033,ng/g,NA,114
soil,Shanghai,Shanghai Chongming district Chongming island,NA,121.347811,31.842421,Norfloxacin,19.2867,ng/g,NA,114
soil,Shanghai,Shanghai Chongming district Chongming island,NA,121.347811,31.842421,Ofloxacin,9.003,ng/g,NA,114
soil,Shanghai,Shanghai Qingpu district,NA,121.124178,31.150681,Chlortetracycline,1.5,ng/g,2012,86
soil,Shanghai,Shanghai Qingpu district,NA,121.124178,31.150681,Ciprofloxacin,9.05,ng/g,2012,86
soil,Shanghai,Shanghai Qingpu district,NA,121.124178,31.150681,Doxycycline,1,ng/g,2012,86
soil,Shanghai,Shanghai Qingpu district,NA,121.124178,31.150681,Enrofloxacin,8.6,ng/g,2012,86
soil,Shanghai,Shanghai Qingpu district,NA,121.124178,31.150681,Norfloxacin,22.4,ng/g,2012,86
soil,Shanghai,Shanghai Qingpu district,NA,121.124178,31.150681,Ofloxacin,13.7,ng/g,2012,86
soil,Shanghai,Shanghai Qingpu district,NA,121.124178,31.150681,Oxytetracycline,13.4,ng/g,2012,86
soil,Shanghai,Shanghai Qingpu district,NA,121.124178,31.150681,Roxithromycin,1.1,ng/g,2012,86
soil,Shanghai,Shanghai Qingpu district,NA,121.124178,31.150681,Sulfachloropyridazine,3,ng/g,2012,86
soil,Shanghai,Shanghai Qingpu district,NA,121.124178,31.150681,Sulfadiazine,0.7,ng/g,2012,86
soil,Shanghai,Shanghai Qingpu district,NA,121.124178,31.150681,Sulfadimethoxine,0.6,ng/g,2012,86
soil,Shanghai,Shanghai Qingpu district,NA,121.124178,31.150681,Sulfadimidine,0.8,ng/g,2012,86
soil,Shanghai,Shanghai Qingpu district,NA,121.124178,31.150681,Sulfamethoxazole,0.5,ng/g,2012,86
soil,Shanghai,Shanghai Qingpu district,NA,121.124178,31.150681,Sulfamonomethoxine,0.8500000000000001,ng/g,2012,86
soil,Shanghai,Shanghai Qingpu district,NA,121.124178,31.150681,Tetracycline,1.2,ng/g,2012,86
soil,Shanghai,Shanghai Yangtze river Delta,6,121.484512,30.916739,Ciprofloxacin,27.7,ng/g,2014,108
soil,Shanghai,Shanghai Yangtze river Delta,6,121.484512,30.916739,Doxycycline,13.9,ng/g,2014,108
soil,Shanghai,Shanghai Yangtze river Delta,6,121.484512,30.916739,Enrofloxacin,3.98,ng/g,2014,108
soil,Shanghai,Shanghai Yangtze river Delta,6,121.484512,30.916739,Norfloxacin,11.2,ng/g,2014,108
soil,Shanghai,Shanghai Yangtze river Delta,6,121.484512,30.916739,Ofloxacin,5.86,ng/g,2014,108
soil,Shanghai,Shanghai Yangtze river Delta,6,121.484512,30.916739,Oxytetracycline,18.9,ng/g,2014,108
soil,Shanghai,Shanghai Yangtze river Delta,6,121.484512,30.916739,Sulfadiazine,0.03,ng/g,2014,108
soil,Shanghai,Shanghai Yangtze river Delta,6,121.484512,30.916739,Sulfadimethoxine,0.875,ng/g,2014,108
soil,Shanghai,Shanghai Yangtze river Delta,6,121.484512,30.916739,Sulfadimidine,0.01,ng/g,2014,108
soil,Shanghai,Shanghai Yangtze river Delta,6,121.484512,30.916739,Sulfamerazine,0.01,ng/g,2014,108
soil,Shanghai,Shanghai Yangtze river Delta,6,121.484512,30.916739,Sulfamethizole,0.55,ng/g,2014,108
soil,Shanghai,Shanghai Yangtze river Delta,6,121.484512,30.916739,Tetracycline,2.07,ng/g,2014,108
soil,Shanxi,Shanxi Fenhe river,NA,112.541281,37.814315,Chlortetracycline,0.01,ng/g,2017,81
soil,Shanxi,Shanxi Fenhe river,NA,112.562398,37.873531,Ciprofloxacin,1.22,ng/g,NA,47
soil,Shanxi,Shanxi Fenhe river,NA,112.562398,37.873531,Enrofloxacin,0.17,ng/g,NA,47
soil,Shanxi,Shanxi Fenhe river,NA,112.562398,37.873531,Norfloxacin,2.54,ng/g,NA,47
soil,Shanxi,Shanxi Fenhe river,NA,112.562398,37.873531,Ofloxacin,1.09,ng/g,NA,47
soil,Shanxi,Shanxi Fenhe river,NA,112.541281,37.814315,Oxytetracycline,0.83,ng/g,2017,81
soil,Shanxi,Shanxi Fenhe river,NA,112.541281,37.814315,Sulfachinoxaline,0.015,ng/g,2017,81
soil,Shanxi,Shanxi Fenhe river,NA,112.541281,37.814315,Sulfadiazine,0.02,ng/g,2017,81
soil,Shanxi,Shanxi Fenhe river,NA,112.541281,37.814315,Sulfadimethoxine,0.02,ng/g,2017,81
soil,Shanxi,Shanxi Fenhe river,NA,112.541281,37.814315,Sulfadimidine,0.01,ng/g,2017,81
soil,Shanxi,Shanxi Fenhe river,NA,112.541281,37.814315,Sulfameter,0.01,ng/g,2017,81
soil,Shanxi,Shanxi Fenhe river,NA,112.541281,37.814315,Sulfamethoxazole,0.07,ng/g,2017,81
soil,Shanxi,Shanxi Fenhe river,NA,112.541281,37.814315,Sulfamonomethoxine,0.01,ng/g,2017,81
soil,Shanxi,Shanxi Fenhe river,NA,112.541281,37.814315,Tetracycline,0.27,ng/g,2017,81
soil,Shanxi,Shanxi Taiyuan Xiaodian district,NA,112.564306,37.742941,Chlortetracycline,19.928,ng/g,NA,33
soil,Shanxi,Shanxi Taiyuan Xiaodian district,NA,112.564306,37.742941,Ciprofloxacin,53.576,ng/g,NA,33
soil,Shanxi,Shanxi Taiyuan Xiaodian district,NA,112.564306,37.742941,Clarithromycin,0.25,ng/g,NA,33
soil,Shanxi,Shanxi Taiyuan Xiaodian district,NA,112.564306,37.742941,Doxycycline,21.392000000000003,ng/g,NA,33
soil,Shanxi,Shanxi Taiyuan Xiaodian district,NA,112.564306,37.742941,Enrofloxacin,151.64600000000002,ng/g,NA,33
soil,Shanxi,Shanxi Taiyuan Xiaodian district,NA,112.564306,37.742941,Erythromycin,13.636,ng/g,NA,33
soil,Shanxi,Shanxi Taiyuan Xiaodian district,NA,112.564306,37.742941,Fleroxacin,81.278,ng/g,NA,33
soil,Shanxi,Shanxi Taiyuan Xiaodian district,NA,112.564306,37.742941,Gatifloxacin,16.038,ng/g,NA,33
soil,Shanxi,Shanxi Taiyuan Xiaodian district,NA,112.564306,37.742941,Lomefloxacin,20.33,ng/g,NA,33
soil,Shanxi,Shanxi Taiyuan Xiaodian district,NA,112.564306,37.742941,Norfloxacin,92.584,ng/g,NA,33
soil,Shanxi,Shanxi Taiyuan Xiaodian district,NA,112.564306,37.742941,Ofloxacin,158.702,ng/g,NA,33
soil,Shanxi,Shanxi Taiyuan Xiaodian district,NA,112.564306,37.742941,Oxytetracycline,2.6260000000000003,ng/g,NA,33
soil,Shanxi,Shanxi Taiyuan Xiaodian district,NA,112.564306,37.742941,Roxithromycin,0.168,ng/g,NA,33
soil,Shanxi,Shanxi Taiyuan Xiaodian district,NA,112.564306,37.742941,Sparfloxacin,12.004,ng/g,NA,33
soil,Shanxi,Shanxi Taiyuan Xiaodian district,NA,112.564306,37.742941,Sulfadiazine,1.732,ng/g,NA,33
